             17	         O
         YELLOW	         O
           CARD	         O
              -	         O
      Alexander	     B-PER
        Buttner	     E-PER
              :	         O
        Another	         O
      full-back	         O
             in	         O
            the	         O
           book	         O
          after	         O
              a	         O
           poor	         O
      challenge	         O
        against	         O
     Albrighton	     S-ORG
              .	         O
        Buttner	     S-PER
         almost	         O
         lashes	         O
            out	         O
             at	         O
            his	         O
       opposite	         O
         player	         O
              ,	         O
            and	         O
       receives	         O
              a	         O
        booking	         O
           from	         O
         Martin	     B-PER
       Atkinson	     E-PER
              .	         O

             17	         O
          CLARK	     S-PER
              !	         O
           Fine	         O
         chance	         O
            for	         O
          Villa	     S-PER
             to	         O
         extend	         O
          their	         O
           lead	         O
              .	         O
          Great	         O
       delivery	         O
           from	         O
            the	         O
          right	         O
             by	         O
     Albrighton	     S-PER
              ,	         O
            and	         O
             it	         O
             's	         O
              a	         O
           free	         O
         header	         O
            for	         O
         Ciaran	     B-PER
          Clark	     E-PER
              ,	         O
            who	         O
        diverts	         O
             it	         O
           over	         O
            the	         O
            bar	         O
              .	         O

