             81	         O
           Into	         O
            the	         O
          final	         O
            ten	         O
        minutes	         O
             in	         O
           what	         O
            has	         O
           been	         O
              a	         O
           very	         O
           good	         O
      afternoon	         O
            for	         O
          David	     B-PER
          Moyes	     E-PER
            and	         O
     Manchester	     B-ORG
         United	     E-ORG
              .	         O
           They	         O
            've	         O
          risen	         O
             to	         O
            the	         O
      challenge	         O
          after	         O
        falling	         O
         behind	         O
          early	         O
             on	         O
              .	         O
           They	         O
            've	         O
           been	         O
              a	         O
            lot	         O
           more	         O
      combative	         O
             in	         O
            the	         O
         middle	         O
              .	         O

